Day,µ(R),σ(R),|R−|,µ(R−),σ(R−),|R+|,µ(R+),σ(R+)
Monday,0.004321813371574994,0.03938030047086698,18,-0.016387552017143894,0.016070377441724522,29,0.01732493028083413,0.03938030047086698
Tuesday,-0.002350497231579771,0.009625734566904263,27,-0.014290919176201412,0.016162779624147278,25,0.010545158468611602,0.009625734566904263
Wednesday,-0.0002906852467746327,0.009608008527073044,23,-0.013635130774208816,0.011481252808180019,28,0.01066044196337578,0.009608008527073044
Thursday,0.00257131603287772,0.017368271680795293,18,-0.013236804852873338,0.011335435311447838,30,0.012227609633186868,0.017368271680795293
Friday,0.006539222993891485,0.013029808837151326,15,-0.011172255973097308,0.016211557208093422,35,0.014129856836886681,0.013029808837151326
