Day,µ(R),σ(R),|R−|,µ(R−),σ(R−),|R+|,µ(R+),σ(R+)
Monday,-0.004140992290257075,0.011193787085751049,22,-0.022782642833948916,0.03221899528696231,23,0.013510108565002203,0.011193787085751049
Tuesday,0.00017526334074291066,0.03465198141963046,28,-0.02032382187701675,0.02223705264917428,24,0.024090862761462512,0.03465198141963046
Wednesday,0.001537579950683814,0.027775709666745783,25,-0.022831754942408067,0.022060262803926114,27,0.024101778925768893,0.027775709666745783
Thursday,-0.004542282569617437,0.02638006514923827,29,-0.018562763001638918,0.018426336306400035,22,0.013939259818047244,0.02638006514923827
Friday,0.003377033975446263,0.01855491182520739,27,-0.014518508621978031,0.013427417771604432,24,0.023509519397548594,0.01855491182520739
