Day,µ(R),σ(R),|R−|,µ(R−),σ(R−),|R+|,µ(R+),σ(R+)
Monday,0.0012587010077228188,0.009241062257208494,20,-0.014718320154708664,0.011830378604184365,26,0.013645540440956484,0.009241062257208494
Tuesday,-0.0005240405405073558,0.008198517388578248,30,-0.008883102804547656,0.0069028256503967395,20,0.011988350828527727,0.008198517388578248
Wednesday,0.002994011087058257,0.012048315474276396,22,-0.009616477243444166,0.008284634126945972,28,0.012902251918167304,0.012048315474276396
Thursday,0.00042712260672419686,0.01666482179055959,28,-0.01027071232644376,0.006078937285362424,20,0.015468159904167967,0.01666482179055959
Friday,-0.0020013254585925576,0.005893459364796936,28,-0.011608528307264634,0.008992684506475338,23,0.009694399748486491,0.005893459364796936
