Day,µ(R),σ(R),|R−|,µ(R−),σ(R−),|R+|,µ(R+),σ(R+)
Monday,-0.0017939696869117077,0.0070858357412108,26,-0.008979097673448233,0.00855050266354078,19,0.007943891258511342,0.0070858357412108
Tuesday,-0.0028836483838787634,0.007109527394002654,30,-0.011554304149355458,0.008667644199853589,21,0.009503002709659373,0.007109527394002654
Wednesday,-0.0005692604005361479,0.010218345631496895,25,-0.010705232594792844,0.007806954370240785,24,0.009917886418414226,0.010218345631496895
Thursday,0.0062019020127534194,0.036073298766759,23,-0.00784611330865278,0.006873814839361307,28,0.017741343169622798,0.036073298766759
Friday,0.002840654802868876,0.009063261719061617,18,-0.008821994223075509,0.006283280811793893,32,0.009489665342552245,0.009063261719061617
