Day,µ(R),σ(R),|R−|,µ(R−),σ(R−),|R+|,µ(R+),σ(R+)
Monday,-0.005498484118236069,0.012726602943835024,31,-0.01600986872646466,0.011990916714504843,17,0.013669334873239592,0.012726602943835024
Tuesday,0.0017838578223989244,0.011798066063038924,27,-0.012373017957684265,0.01253561841069521,24,0.017784670484259135,0.011798066063038924
Wednesday,0.001270611795883142,0.02286997559310892,29,-0.014833693054508365,0.015656532028480663,23,0.021576039650724608,0.02286997559310892
Thursday,0.0013555921534649633,0.019958202270756318,27,-0.01551909380746727,0.012410671673257193,23,0.021223944896883888,0.019958202270756318
Friday,-0.0014175373590978144,0.0075469693783442714,24,-0.014392843042497133,0.010996307708949254,25,0.011038756096965531,0.0075469693783442714
